emd_nm,center_long,center_lati
성북동,126.9961501,37.59586828
삼선동,127.0117956,37.5866188
동선동,127.0184261,37.59373543
돈암제1동,127.0240416,37.59932704
돈암제2동,127.0116292,37.59727529
안암동,127.027309,37.58725171
보문동,127.0192189,37.58260326
정릉제1동,127.0166528,37.60326167
정릉제2동,127.0081182,37.60379361
정릉제3동,126.993765,37.61226303
정릉제4동,126.9951801,37.62351062
길음제1동,127.0197352,37.60811224
길음제2동,127.027231,37.6079711
종암동,127.0333744,37.59725007
월곡제1동,127.0364479,37.60787813
월곡제2동,127.0451927,37.60329982
장위제1동,127.0442649,37.61494425
장위제2동,127.0517267,37.61222375
장위제3동,127.0534944,37.61817789
석관동,127.0613359,37.60826024
